㑇	wqvg
㑊	wpy
㕮	kmy
㘎	kunt
㙍	fooy
㙘	fsvg
㙦	wiwf
㛃	dhvv
㛚	vceh
㛹	vwgr
㟃	mnrg
㠇	myin
㠓	mapu
㤘	nqvg
㥄	nfmt
㧐	roy
㧑	rluy
㧟	rian
㫰	jyvy
㬊	jegc
㬎	joou
㬚	jyct
㭎	smry
㭕	sly
㮾	yves
㰀	stqi
㳇	imy
㳘	iycq
㳚	idyy
㴔	iqvi
㵐	iduw
㶲	oeh
㸆	oekx
㸌	ofrg
㺄	vwwh
㻬	gfgw
㽏	iwaf
㿠	kkn
䁖	hovg
䂮	dhvd
䃅	dulf
䃎	ddqy
䅟	tcde
䌹	xmkg
䎃	mfng
䎖	ljng
䏝	evcy
䏡	ewmy
䏲	euxt
䐃	elty
䓖	aplr
䓛	anbm
䓨	aprm
䓫	adsk
䓬	ahvj
䗖	jmpb
䗛	jwhe
䗪	loji
䗴	jtqp
䜣	yrh
䝙	eary
䢺	bmbh
䢼	rbh
䣘	jfbh
䥽	qhdc
䦃	qafj
䲟	csbh
䲠	cdwj
䲢	excg
䴓	kmqg
䴔	urqg
䴕	bjqg
䴖	geqg
䴗	hdyg
䴘	rhng
䴙	daqg
䶮	dxgd
一	gio
丁	sgh
七	aoa
万	gqe
丈	gri
三	dio
上	hao
下	ghi
丌	pgth
不	gnhy
与	qngg
丏	gchk
丐	gchk
丑	nfd
专	vcu
且	ehng
丕	ggf
世	kdd
丘	rgd
丙	ewi
业	ohhg
丛	agf
东	aii
丝	xxgf
丞	bigf
丢	tli
两	eai
严	godr
丧	fueu
丨	hee
个	otyh
丫	uhk
丬	uygh
中	shnh
丰	dhk
串	skd
临	jtkh
丶	yee
丸	vyi
丹	myd
为	lui
主	bygg
丽	gyu
举	cvj
丿	too
乂	rty
乃	ent
久	qyi
乇	mtgt
么	ogd
义	yri
之	pppp
乌	qngd
乍	kfd
乎	tuhk
乏	tpi
乐	qii
乒	rgtr
乓	rgyu
乔	mjk
乖	quxv
乘	tuxv
乙	nee
乜	nnv
九	voa
乞	stgn
也	mao
习	nud
乡	xte
书	hbyi
乩	vnn
买	ciwu
乱	qnn
乳	ebnn
乸	mxsi
乾	ksn
了	bnh
予	csj
争	qsj
事	nvd
二	fio
亍	wggh
于	fhk
亏	gwb
云	cggy
互	gxgd
亓	fjj
五	sio
井	xggh
亘	gjgf
亚	god
些	cxff
亟	bkcg
亠	yyg
亡	yygn
亢	ynb
交	uru
亥	aoi
亦	pygy
产	ute
亨	ybj
亩	ylf
享	ybf
京	yiu
亭	hsj
亮	hnb
亲	uiu
亳	hmb
亵	yhku
亶	ylkg
亸	ybuf
亹	ywfe
人	woa
亻	wth
亿	wnn
什	wfh
仁	wfg
仂	wlt
仃	wsh
仄	dwi
仅	wcy
仆	why
仇	wvn
仉	wnn
今	dtyn
介	wjk
仍	wet
从	aoa
仑	wxb
仓	wlb
仔	wbg
仕	wfg
他	wmn
仗	wgry
付	wfyy
仙	wmh
仝	waf
仞	wvyy
仟	wqh
仡	wsn
代	hyi
令	dyi
以	nwy
仨	wdg
仪	wyry
仫	wogg
们	wun
仰	wqbh
仲	wsh
仳	waxn
仵	wrhh
件	wph
价	wwjh
任	wqg
份	wmvt
仿	wpt
企	wcf
伈	wniy
伉	wynn
伊	wvtt
伋	weyy
伍	wsg
伎	wfcy
伏	wdyy
伐	wxy
休	wsy
众	wau
优	wdnn
伙	woy
会	ocu
伛	wary
伞	wuhj
伟	wvnn
传	wvcy
伢	wrtt
伣	wmsn
伤	wtlt
伥	whsy
伦	wwxn
伧	wwln
伪	wluy
伫	wpgg
伭	wacy
伯	wkg
估	wdg
伲	wnxn
伴	wvuy
伶	wdyy
伸	wjhh
伺	wnrg
似	wnwy
伽	wvg
伾	wggg
佁	wckg
佃	wlg
但	wjgg
位	wug
低	wscy
住	wbg
佐	wdag
佑	wtrg
体	wjg
何	wskg
佖	wnoy
佗	wpxn
佘	oiu
余	wii
佚	wrwy
佛	wxjh
作	wkfg
佝	wsg
佞	wfvg
佟	wtuy
你	fii
佣	weh
佤	wgny
佥	wqf
佧	wmy
佩	wnkm
佬	wfxn
佯	wph
佰	wdjg
佳	wffg
佴	wbg
佶	wfkg
佸	wqg
佺	woxg
佻	wiqn
佼	wury
佽	wky
佾	wmeg
使	wrry
侁	weqn
侂	womn
侃	wkqh
侄	wag
侈	wqy
侉	wdgw
例	wbjh
侍	wffy
侏	wtsy
侑	wefg
侔	wcph
侗	wmg
侘	wpmn
供	wry
依	wyky
侠	wxwy
侣	wkkg
侥	wxpn
侦	whmy
侧	wmjh
侨	wmjh
侩	wocy
侪	wcjh
侬	wpky
侮	wxy
侯	wncy
侴	wnfj
侵	wvpc
侹	wqpy
便	wgjr
促	wly
俄	wryy
俅	wfy
俊	wcmt
俍	wyvy
俎	ieg
俏	wieg
俐	wtjh
俑	wceh
俗	wmrg
俘	webg
俙	wrdb
俚	wuag
俜	wnwn
保	mkd
俞	wwj
俟	wccy
信	wyg
俣	wkgd
俦	wofy
俨	wgod
俩	weay
俪	wgyy
俫	wxiy
俭	wwqg
修	whte
俯	wowy
俱	weuy
俳	wmxg
俵	wgky
俶	wmtc
俸	wdwv
俺	wdjn
俾	wrvh
倌	wpdg
倍	wukg
倏	whty
倒	wajh
倓	wooy
倔	wnbm
倕	wqag
倘	wjg
候	whnc
倚	wdsk
倜	wmfk
倞	wyiy
借	wajg
倡	wjjg
倥	wpsg
倦	wxln
倧	wpwm
倨	wndg
倩	wgeg
倪	wvqn
倬	whvh
倭	wtvg
倮	wjsy
倴	wdfa
债	wgmy
倻	wbbh
值	wfeg
倾	wadm
偁	wemf
偃	wajv
假	wrnc
偈	wjqn
偌	watr
偎	wley
偏	woma
偓	wnag
偕	waxk
做	wdty
停	whsh
偡	whnn
健	wwfp
偬	wqri
偭	wdlf
偰	wdhd
偲	wlni
偶	wjmc
偷	wwwh
偻	wovg
偾	wfam
偿	wicy
傀	wqcy
傃	wgxi
傅	wbfy
傈	wssy
傉	wdey
傍	wupp
傒	wexd
傕	wprg
傣	wdwi
傥	wjqn
傧	wpru
储	wyfj
傩	wcrg
催	wmrg
傲	wgty
傺	wwwm
傻	wtkt
僇	wnwe
僎	wllr
像	wleu
僔	wusy
僖	wfak
僚	wdui
僦	wyin
僧	wljg
僬	wroy
僭	wlsj
僮	wuua
僰	eiew
僳	wsoy
僵	wglg
僻	wdah
儆	wast
儇	wlrk
儋	wqdy
儒	wfdm
儡	wlll
儦	wsxo
儳	wlay
儴	wyxk
儿	qqqq
兀	pgtn
允	cqb
元	fqb
兄	kqb
充	ycqb
兆	iqv
先	eqb
光	khyn
克	dqb
免	lsv
兑	dqb
兔	lsyi
兕	gbgq
兖	ucqb
党	jqb
兜	qknq
兢	dqdq
入	tyi
全	oxd
八	moi
公	mcu
六	uoi
兮	mwb
兰	uff
共	rghy
关	syty
兴	coa
兵	rguu
其	hghy
具	euu
典	mri
兹	uou
养	pjk
兼	uvou
兽	ulrf
冀	uxlr
冁	ulfe
冂	mhn
内	mwi
冈	mri
冉	mfd
册	ygd
再	ked
冏	mrd
冒	jhf
冔	jkfh
冕	jlsb
冖	pyn
冗	pnb
写	pqf
军	plj
农	pki
冠	pfqy
冢	peuy
冤	plsy
冥	pjuu
冫	uyg
冬	tuu
冮	uag
冯	ucg
冰	uhiy
冱	ugxg
冲	ush
决	uby
况	ukqn
冶	uckg
冷	udyy
冻	uaiy
冼	ueqn
冽	ubjh
净	uqsh
凄	ugwv
准	urg
凇	usmc
凉	uyiy
凋	umfk
凌	ufmt
减	udry
凑	udwd
凓	ussy
凘	uhrh
凛	uylm
凝	uxcw
几	ntn
凡	ntny
凤	nci
凫	qnv
凭	wqnb
凯	mlnn
凰	nkgd
凳	wgan
凵	bnh
凶	btyh
凸	gmgb
凹	gbgb
出	bmk
击	fmk
凼	hibk
函	bibk
凿	oufb
刀	vnt
刁	ngd
刂	jhh
刃	vyi
分	mvr
切	avt
刈	rjh
刊	fjh
刍	qvf
刎	qrjh
刑	ejh
划	xjh
刖	wtnh
列	bjh
刘	cjh
则	mjh
刚	mrjh
创	wljh
初	bvt
删	ygjh
判	ojh
刨	qljh
利	tjh
别	vjh
刬	gxjh
刭	cajh
刮	qjh
到	ajh
刳	dgwj
制	ljh
刷	nbjh
券	xvr
刹	jjh
刺	eijh
刻	aojh
刽	ocjh
刿	mqjh
剀	mljh
剁	nsjh
剂	cjjh
剃	uxjh
剅	gajh
削	iejh
剋	dqjk
剌	ujh
前	uwj
剐	kmwj
剑	wqjh
剔	jqrj
剕	mxjh
剖	ukjh
剜	pqbj
剞	dskj
剟	oojh
剡	oojh
剥	jijh
剧	ndjh
剩	tuxj
剪	uwvr
副	rljh
割	jrjh
剽	bijh
剿	vjsj
劁	rojh
劂	dubj
劄	twjh
劈	davr
劐	arcj
劓	tpjh
力	lao
劝	clt
办	lmi
功	alt
加	vntg
务	tlr
劢	gqlt
劣	itlr
动	clt
助	elt
努	vclr
劫	llt
劬	slt
劭	vklt
励	dqlt
劲	calt
劳	aplr
劼	fklt
劾	aolt
势	hlr
勃	fpbl
勇	celr
勉	lsle
勋	kmlt
勍	yilt
勐	bllt
勒	qlt
勔	dljl
勖	jhlt
